"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\en_US.json", "JSON", 0, 0, 48, 0, 0, 48
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\ur_PK.json", "JSON", 0, 0, 48, 0, 0, 48
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\firestore.indexes.json", "JSON", 0, 0, 20, 0, 0, 20
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_outline_button.dart", "Dart", 0, 41, 0, 0, 3, 44
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\reminder\custom_toggle_btn.dart", "Dart", 0, 42, 0, 0, 5, 47
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\category_pie_chart.dart", "Dart", 0, 163, 0, 0, 11, 174
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\cost_pie_chart.dart", "Dart", 0, 224, 0, 0, 9, 233
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\distance_per_refueling_line_chart.dart", "Dart", 0, 193, 0, 0, 11, 204
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\expense_vs_income_bar_chart.dart", "Dart", 0, 198, 0, 7, 12, 217
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_efficiency_line_chart.dart", "Dart", 0, 93, 0, 0, 5, 98
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_price_line_chart.dart", "Dart", 0, 187, 0, 0, 9, 196
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\monthly_cost_bar_chart.dart", "Dart", 0, 164, 0, 0, 11, 175
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\odometer_history_line_chart.dart", "Dart", 0, 193, 0, 0, 11, 204
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\custom_report_card.dart", "Dart", 0, 143, 0, 0, 4, 147
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\distance_report_card.dart", "Dart", 0, 105, 0, 0, 4, 109
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\report_date_range.dart", "Dart", 0, 60, 0, 0, 3, 63
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\report_tab_bar.dart", "Dart", 0, 47, 0, 0, 4, 51
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field.dart", "Dart", 0, 3, 0, 0, 0, 3
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\app_user.dart", "Dart", 0, 40, 0, -1, 10, 49
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\expense\expense_model.dart", "Dart", 0, -26, 0, -1, -1, -28
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\general_model.dart", "Dart", 0, 8, 0, 0, 1, 9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\income\income_model.dart", "Dart", 0, 3, 0, 0, 0, 3
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart", "Dart", 0, 3, 0, 0, 1, 4
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\reminders\reminder_model.dart", "Dart", 0, 1, 0, 0, 1, 2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\route\route_model.dart", "Dart", 0, 3, 0, 0, 1, 4
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\service\service_model.dart", "Dart", 0, 94, 0, 0, 5, 99
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\timeline_entry.dart", "Dart", 0, 59, 0, 6, 11, 76
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\vehicle\vehicle_model.dart", "Dart", 0, 4, 0, 0, 0, 4
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_controller.dart", "Dart", 0, -4, 0, 0, -1, -5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart", "Dart", 0, 60, 0, 0, 7, 67
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_controller.dart", "Dart", 0, 1, 0, 0, 0, 1
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_controller.dart", "Dart", 0, 148, 0, 1, 28, 177
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_view.dart", "Dart", 0, 539, 0, 21, 8, 568
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_binding.dart", "Dart", 0, -8, 0, 0, -2, -10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_controller.dart", "Dart", 0, -168, 0, 0, -24, -192
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_view.dart", "Dart", 0, -533, 0, -4, -8, -545
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_controller.dart", "Dart", 0, 12, 0, 0, 1, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_view.dart", "Dart", 0, 9, 0, 0, 0, 9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_controller.dart", "Dart", 0, 171, 0, 3, 31, 205
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_view.dart", "Dart", 0, 557, 0, 1, 8, 566
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_controller.dart", "Dart", 0, 13, 0, -1, 1, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_view.dart", "Dart", 0, -7, 0, 14, 0, 7
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_controller.dart", "Dart", 0, 376, 0, 43, 43, 462
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view.dart", "Dart", 0, 407, 0, 55, 8, 470
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view_copy.dart", "Dart", 0, 941, 0, 66, 30, 1037
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_controller.dart", "Dart", 0, 127, 0, 2, 28, 157
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_view.dart", "Dart", 0, 361, 0, 17, 9, 387
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_binding.dart", "Dart", 0, -8, 0, 0, -2, -10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_controller.dart", "Dart", 0, -143, 0, 0, -20, -163
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_view.dart", "Dart", 0, -358, 0, 0, -7, -365
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_controller.dart", "Dart", 0, 140, 0, 6, 27, 173
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_view.dart", "Dart", 0, 371, 0, 0, 8, 379
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_controller.dart", "Dart", 0, 261, 0, 9, 43, 313
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_view.dart", "Dart", 0, 585, 0, 115, 9, 709
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_binding.dart", "Dart", 0, -8, 0, 0, -2, -10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_controller.dart", "Dart", 0, -214, 0, -8, -31, -253
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_view.dart", "Dart", 0, -593, 0, -13, -9, -615
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_controller.dart", "Dart", 0, 263, 0, 1, 41, 305
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_view.dart", "Dart", 0, 561, 0, 0, 8, 569
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_controller.dart", "Dart", 0, 178, 0, 2, 32, 212
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_view.dart", "Dart", 0, 528, 0, 39, 8, 575
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_binding.dart", "Dart", 0, -8, 0, 0, -2, -10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_controller.dart", "Dart", 0, -163, 0, 0, -22, -185
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_view.dart", "Dart", 0, -507, 0, 0, -8, -515
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_controller.dart", "Dart", 0, 193, 0, 1, 31, 225
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_view.dart", "Dart", 0, 527, 0, 0, 8, 535
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_controller.dart", "Dart", 0, 153, 0, 2, 31, 186
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_view.dart", "Dart", 0, 539, 0, 27, 9, 575
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_binding.dart", "Dart", 0, -8, 0, 0, -2, -10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_controller.dart", "Dart", 0, -173, 0, 0, -25, -198
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_view.dart", "Dart", 0, -532, 0, 0, -8, -540
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_controller.dart", "Dart", 0, 7, 0, 0, -1, 6
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_view.dart", "Dart", 0, 9, 0, 0, 0, 9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_controller.dart", "Dart", 0, 171, 0, 3, 29, 203
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_view.dart", "Dart", 0, 557, 0, 0, 8, 565
