"filename", "language", "Dart", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart", "Dart", -6, 0, 1, -5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_controller.dart", "Dart", -12, 0, 3, -9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_controller.dart", "Dart", -5, -1, -3, -9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_controller.dart", "Dart", -2, 0, 0, -2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_controller.dart", "Dart", -2, 0, 0, -2
"Total", "-", -41, -1, 1, -41
