"filename", "language", "C++", "CMake", "YAML", "Swift", "Dart", "JavaScript", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, -117, -19, -6, -142
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\expense\expense_model.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\income\income_model.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\route\route_model.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\service\service_model.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_controller.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_controller.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_controller.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 2, 11
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_view.dart", "Dart", 0, 0, 0, 0, -86, 0, 0, -2, -88
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_view.dart", "Dart", 0, 0, 0, 0, -86, 0, 0, -2, -88
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_controller.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_view.dart", "Dart", 0, 0, 0, 0, -83, 0, 0, -2, -85
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_controller.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_view.dart", "Dart", 0, 0, 0, 0, -87, 0, 0, -2, -89
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\user\create\create_user_controller.dart", "Dart", 0, 0, 0, 0, 14, 0, 3, 3, 20
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\vehicles\create\create_vehicles_controller.dart", "Dart", 0, 0, 0, 0, -9, 0, 0, 1, -8
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\vehicles\vehicles_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 8
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\services\app_service.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 5, 17
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 2, 0, 2, 0, 4
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\utils\database_tables.dart", "Dart", 0, 0, 0, 0, 5, 0, 5, 0, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\utils\utils.dart", "Dart", 0, 0, 0, 0, 120, 0, 0, 8, 128
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\pubspec.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\windows\flutter\generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 3, 1, 1, 2, -652, -117, -9, 0, -771
